"S_SUPPKEY"|"S_NAME"|"S_ADDRESS"|"S_NATIONKEY"|"S_PHONE"|"S_ACCTBAL"|"S_COMMENT"
135|"Supplier#000000135       "|"i0g4yNNmRR"|18|"467-205-3830   "|4538,66|"fluffily unusual dolphins are final requests ."
146|"Supplier#000000146       "|"LwB0myLiwPk "|12|"150-199-9982   "|2375,18|"carefully final foxes after nag blithely along ."
148|"Supplier#000000148       "|"2yw6BLLi66mPyNy6igkNw0PiwN6yBByBN"|16|"212-187-3097   "|7485,99|"quickly unusual excuses among haggle carefully enticingly final"
152|"Supplier#000000152       "|"kBR6w0mBN6wgBki6gk244w 6m0wyR26B"|17|"493-221-5459   "|6021,63|"quickly silent excuses solve fluffily ."
153|"Supplier#000000153       "|"6yLm0gm0gL"|3|"212-825-5967   "|3521,86|"packages use blithely ."
155|"Supplier#000000155       "|"PmmRN02w miwyBBPy62mPgkg0PBBNPiNLk4B"|13|"384-874-6626   "|911,13|"carefully careful foxes after haggle carefully regular accounts"
157|"Supplier#000000157       "|" 6im4iLmR24 2P0N yi4RN06P66k4k6"|4|"967-212-8784   "|3784,18|"packages nag blithely ."
165|"Supplier#000000165       "|"P0wwLwik0NgkmNL"|23|"860-258-7571   "|9924,44|"packages use blithely about ."
172|"Supplier#000000172       "|"R B mLkm2LyRBPL"|5|"203-169-6491   "|9974,62|"bold requests boost quickly furiously special ideas ."
173|"Supplier#000000173       "|" y4gLiyNNPm60LwBNLPLmwBLy6LPm"|1|"262-589-8954   "|1486,85|"packages x-ray fluffily about ."
174|"Supplier#000000174       "|"R4mPLNmRPiwigB "|8|"843-113-6867   "|6446,44|"express accounts according to use blithely above ."
179|"Supplier#000000179       "|"k 2y0ikgBm2w4y20 iB"|21|"824-701-4522   "|3513,97|"regular requests boost blithely bold, unusual accounts ."
184|"Supplier#000000184       "|"mg40m 2PB06LiiRN4iR"|18|"802-499-8136   "|5694,64|"bold requests are ."
186|"Supplier#000000186       "|"46L0622Rg2m2RNPkPiiN2 2B RLgP6y4mg6ii"|2|"379-408-5252   "|4870,63|"quickly pending excuses among haggle carefully alongside of ."
193|"Supplier#000000193       "|"iiLN0k60N kikBwLRR42i6kP4ikB6Bg"|20|"925-137-7350   "|-848,41|"ironic, regular deposits wake ."
194|"Supplier#000000194       "|"wmmLRmw 4LNm2kyLi"|24|"198-143-6394   "|5761,17|"packages wake furiously regular pains ."
196|"Supplier#000000196       "|"L6B4N60iNNw00gPBRP kBPNkLkPw  "|6|"601-153-2489   "|964,32|"carefully special ideas against wake toward ."
200|"Supplier#000000200       "|"R0P2 RLgLiww02LRm"|5|"280-343-5319   "|8508,49|"blithely final ideas cajole against ."
205|"Supplier#000000205       "|"k4k02m0RP0R6k6iLyN6  m42R06wB"|2|"835-910-2740   "|7738,82|"carefully unusual foxes wake ."
214|"Supplier#000000214       "|"2w4mPm2PR64PPiLRwkmmLPkig2gBiww6mym"|2|"140-926-7694   "|4952,86|"bold, ironic deposits cajole across ."
215|"Supplier#000000215       "|"Lg6gRymLR6N0mw644   0 "|17|"923-716-5376   "|3666,54|"packages about wake furiously express deposits ."
218|"Supplier#000000218       "|"gLg4k26BwRmBki204mB m6wPBi42P 4"|7|"355-456-7145   "|7016,16|"blithely ironic theodolites engage fluffily regular, final depo"
222|"Supplier#000000222       "|"LLmBBNBi42B4BNPRiwmm"|8|"772-797-5747   "|3120,15|"packages about cajole furiously pending platelets ."
233|"Supplier#000000233       "|"4i NLkw0 NgLyigRgy04iyPg 0w"|23|"775-711-3814   "|-579,9|"close accounts cajole ."
237|"Supplier#000000237       "|"kim4 yPyRLRkBNBNNy6"|2|"879-168-7794   "|4979,81|"blithely ironic theodolites eat fluffily blithely even pinto be"
241|"Supplier#000000241       "|"kNiyL2 i i44Bw0mmLgLB6w00Lw 4RgiPm0yB"|2|"818-324-5023   "|8379,08|"carefully express foxes use blithely regular accounts ."
